instrument,staff,measureNumber,offset,duration,frequency,step,octave
Piano,,22,86.0,0.5,391.99543598174927,F,4
Piano,,22,86.5,0.5,391.99543598174927,F,4
Piano,,22,87.0,0.75,622.253967444162,D,5
Piano,,22,87.75,0.25,391.99543598174927,F,4
Piano,,23,88.0,1.0,466.1637615180899,A,4
Piano,,23,89.0,1.0,415.3046975799451,G,4
Piano,,23,90.0,0.5,415.3046975799451,G,4
Piano,,23,90.5,0.5,415.3046975799451,G,4
Piano,,23,91.0,0.75,622.253967444162,D,5
Piano,,23,91.75,0.25,415.3046975799451,G,4
Piano,,24,92.0,1.0,493.8833012561241,B,4
Piano,,24,93.0,1.0,466.1637615180899,A,4
Piano,,24,94.0,0.5,466.1637615180899,A,4
Piano,,24,94.5,0.5,466.1637615180899,A,4
Piano,,24,95.0,0.75,622.253967444162,D,5
Piano,,24,95.75,0.25,466.1637615180899,A,4
Piano,,25,96.0,0.5,493.8833012561241,B,4
Piano,,25,96.5,1.0,622.253967444162,D,5
Piano,,25,96.5,1.0,1244.5079348883246,D,6
Piano,,25,97.5,0.5,622.253967444162,D,5
Piano,,25,97.5,0.5,1244.5079348883246,D,6
Piano,,25,98.0,0.5,622.253967444162,D,5
Piano,,25,98.0,0.5,1244.5079348883246,D,6
Piano,,25,98.5,0.5,622.253967444162,D,5
Piano,,25,98.5,0.5,1244.5079348883246,D,6
Piano,,25,99.0,0.5,493.8833012561241,B,4
Piano,,25,99.0,0.5,987.7666025122488,B,5
Piano,,25,99.5,0.5,415.3046975799451,G,4
Piano,,25,99.5,0.5,830.6093951598907,G,5
Piano,,26,100.0,0.5,415.3046975799451,G,4
Piano,,26,100.0,0.5,830.6093951598907,G,5
Piano,,26,100.5,1.0,391.99543598174927,F,4
Piano,,26,100.5,1.0,783.990871963499,F,5
Piano,,26,101.5,0.5,391.99543598174927,F,4
Piano,,26,101.5,0.5,783.990871963499,F,5
Piano,,26,102.0,0.5,391.99543598174927,F,4
Piano,,26,102.0,0.5,783.990871963499,F,5
Piano,,26,102.5,0.5,391.99543598174927,F,4
Piano,,26,102.5,0.5,783.990871963499,F,5
Piano,,26,103.0,0.5,622.253967444162,D,5
Piano,,26,103.0,0.5,1244.5079348883246,D,6
Piano,,26,103.5,0.5,391.99543598174927,F,4
Piano,,26,103.5,0.5,783.990871963499,F,5
Piano,,27,104.0,0.5,466.1637615180899,A,4
Piano,,27,104.0,0.5,932.3275230361803,A,5
Piano,,27,104.5,1.0,415.3046975799451,G,4
Piano,,27,104.5,1.0,830.6093951598907,G,5
Piano,,27,105.5,0.5,415.3046975799451,G,4
Piano,,27,105.5,0.5,830.6093951598907,G,5
Piano,,27,106.0,0.5,415.3046975799451,G,4
Piano,,27,106.0,0.5,830.6093951598907,G,5
Piano,,27,106.5,0.5,415.3046975799451,G,4
Piano,,27,106.5,0.5,830.6093951598907,G,5
Piano,,27,107.0,0.5,622.253967444162,D,5
Piano,,27,107.0,0.5,1244.5079348883246,D,6
Piano,,27,107.5,0.5,415.3046975799451,G,4
Piano,,27,107.5,0.5,830.6093951598907,G,5
Piano,,28,108.0,0.5,493.8833012561241,B,4
Piano,,28,108.0,0.5,987.7666025122488,B,5
Piano,,28,108.5,1.0,466.1637615180899,A,4
Piano,,28,108.5,1.0,932.3275230361803,A,5
Piano,,28,109.5,0.5,466.1637615180899,A,4
Piano,,28,109.5,0.5,932.3275230361803,A,5
Piano,,28,110.0,0.5,466.1637615180899,A,4
Piano,,28,110.0,0.5,932.3275230361803,A,5
Piano,,28,110.5,0.5,466.1637615180899,A,4
Piano,,28,110.5,0.5,932.3275230361803,A,5
Piano,,28,111.0,0.5,622.253967444162,D,5
Piano,,28,111.0,0.5,1244.5079348883246,D,6
Piano,,28,111.5,0.5,466.1637615180899,A,4
Piano,,28,111.5,0.5,932.3275230361803,A,5
Piano,,29,112.0,2.0,523.2511306011974,B,4
Piano,,29,112.0,2.0,1046.5022612023952,B,5
Piano,,29,114.0,2.0,554.3652619537443,C,5
Piano,,29,114.0,2.0,1108.7305239074892,C,6
Piano,,30,116.0,1.0,466.1637615180899,A,4
Piano,,30,116.0,1.0,932.3275230361803,A,5
Piano,,30,116.0,17/120,0.0,A,5
Piano,,30,116.0,1/140,0.0,A,5
Piano,,30,116.14166666666667,1/7,987.7666025122488,B,5
Piano,,30,116.2845238095238,1/7,932.3275230361803,A,5
Piano,,30,116.42738095238096,1/7,987.7666025122488,B,5
Piano,,30,116.5702380952381,1/7,932.3275230361803,A,5
Piano,,30,116.71309523809524,1/7,830.6093951598907,G,5
Piano,,30,116.85595238095237,1/7,932.3275230361803,A,5
Piano,,30,117.0,3.0,493.8833012561241,B,4
Piano,,30,117.0,3.0,987.7666025122488,B,5
Piano,,31,120.00714285714285,2.0,415.3046975799451,G,4
Piano,,31,120.00714285714285,2.0,830.6093951598907,G,5
Piano,,31,122.00714285714285,2.0,440.0,A,4
Piano,,31,122.00714285714285,2.0,880.0000000000003,A,5
Piano,,32,124.00714285714285,1.0,391.99543598174927,F,4
Piano,,32,124.00714285714285,1.0,783.990871963499,F,5
Piano,,32,124.00714285714285,17/120,0.0,F,5
Piano,,32,124.00714285714285,1/140,0.0,F,5
Piano,,32,124.14880952380952,1/7,830.6093951598907,G,5
Piano,,32,124.29166666666667,1/7,783.990871963499,F,5
Piano,,32,124.43452380952381,1/7,830.6093951598907,G,5
Piano,,32,124.57738095238095,1/7,783.990871963499,F,5
Piano,,32,124.7202380952381,1/7,698.456462866008,E,5
Piano,,32,124.86309523809524,1/7,783.990871963499,F,5
Piano,,32,125.00714285714285,3.0,415.3046975799451,G,4
Piano,,32,125.00714285714285,3.0,830.6093951598907,G,5
Piano,,33,128.0142857142857,2.0,440.0,A,4
Piano,,33,128.0142857142857,2.0,554.3652619537443,C,5
Piano,,33,128.0142857142857,2.0,659.2551138257401,E,5
Piano,,33,128.0142857142857,2.0,880.0000000000003,A,5
Piano,,33,130.0142857142857,0.25,440.0,A,4
Piano,,33,130.0142857142857,0.25,554.3652619537443,C,5
Piano,,33,130.0142857142857,0.25,659.2551138257401,E,5
Piano,,33,130.0142857142857,0.25,880.0000000000003,A,5
Piano,,33,130.2642857142857,0.25,659.2551138257401,E,5
Piano,,33,130.5142857142857,0.25,739.988845423269,F,5
Piano,,33,130.7642857142857,0.25,830.6093951598907,G,5
Piano,,33,131.0142857142857,0.25,880.0000000000003,A,5
Piano,,33,131.2642857142857,0.25,987.7666025122488,B,5
Piano,,33,131.5142857142857,0.25,1108.7305239074892,C,6
